tag,qid_highest,highest_question_viewcount,qid_lowest,lowest_question_viewcount
aggregate,626788,610,955101,21
aggregate-functions,723054,242,876847,22
aggregateroot,869617,26,869617,26
aggregation,822380,370,893574,33
agi,696668,65,696668,65
agile,668158,874,960711,29
agile-development,628430,280,715126,58
agile-documentation,577518,51,577518,51
agile-processes,581093,246,581093,246
agile-software,572611,294,730508,188
agpl,731246,153,731246,153
agreement,642188,460,944159,116
ai,616292,497,919923,21
aiff-files,612507,89,612507,89
aim,599218,87,599218,87
air,574497,1059,883748,21
airplane,840525,191,840525,191
airupdateframework,724312,108,724312,108
aix,793858,274,906106,13
ajax,583116,1353,919371,9
ajax+hebrew,834558,14,834558,14
ajax-control-toolkit,896519,95,897109,33
ajax-forms,760097,375,803538,132
ajax-helper,906453,27,906453,27
ajax-polling,705241,68,705241,68
ajax-pro,741470,174,741470,174
ajaxcontroltoolkit,778952,418,919371,9
ajaxform,908975,28,908975,28
ajaxpro,810012,25,810012,25
ajaxtoolkit,637179,257,910792,20
ajaxûbeginform,794484,69,794484,69
ajaxûnet,648250,208,780459,21
ajp,569861,240,956361,11
akelos,716416,68,716416,68
alarm,644073,100,822490,47
alcatel,700350,29,700350,29
alchemy,701965,153,701965,153
alert,577233,185,853027,14
alerts,563890,249,950371,44
alfresco,676884,122,676884,122
algebra,580356,292,662120,87
algebraic-data-types,870919,249,870919,249
algol,833063,257,838079,92
algorithm,804316,2010,953150,19
algorithm-design,600065,106,866937,78
algorithms,958678,123,958678,123
alias,597513,457,822310,20
alias-column,853016,100,853016,100
aliases,886194,31,886194,31
aliasing,781358,74,781358,74
align,732139,448,840814,51
alignment,612443,731,936451,8
alive,614336,227,614336,227
all,702748,38,841057,30
all-db-servers,712580,482,712580,482
all-files,776902,101,776902,101
all-objects,630847,93,630847,93
all-of-computer-science,907873,153,907873,153
allegro,928163,28,932582,23
alloca,938590,156,938590,156
allocation,768922,415,836051,30
allocator,727066,172,727066,172
allusersprofile,784487,160,784487,160
alm,951949,33,951949,33
alpha,685684,184,609843,112
alphabet,924109,123,871332,33
alphabetical,719614,55,719614,55
alphabetized,622031,70,622031,70
alphablend,824741,97,824741,97
alphablending,806000,595,847899,24
alphanumeric,591238,163,890691,37
alsa,703128,169,790960,142
alt,739267,1080,773569,390
alter,616104,155,834841,19
alter-table,659051,929,950134,46
alternate-access-mappings,720511,79,720511,79
alternateview,778649,120,778649,120
alternative,925653,365,872239,53
alternatives,630714,655,960097,48
alu,576242,164,576242,164
always-on-top,593176,464,591508,91
alwaysonbottom,643879,448,643879,448
alûexe,676552,49,676552,49
amazon,564223,345,878493,16
amazon-ec2,639545,935,891290,30
amazon-s3,620809,566,929248,5
amazonwebservices,842909,258,912338,18
ambiguity,583327,352,888502,89
ambiguous,783399,280,899130,50
ambiguous-call,887044,144,887044,144
amcap,919991,48,919991,48
amd,839667,171,674406,70
amd64,800076,306,800076,306
amend,907133,70,907133,70
amf,585685,286,726902,52
amfphp,652134,476,956369,20
ami,693491,115,681494,62
amiga,705863,620,705863,620
amortization,908321,51,952246,14
amplifier,951378,49,951378,49
amplitude,742546,137,742546,137
amqp,665746,59,858317,27
anagram,880559,124,909449,76
analysis,643594,749,834630,35
analysis-patterns,621878,183,598798,95
analysis-services,566296,226,840075,13
analytic-functions,956958,51,956958,51
analytics,791125,468,911973,16
analyzer,893658,107,949398,40
anchor,774136,208,854416,32
anchor-tags,569268,166,826522,69
anchors,652049,547,879910,52
and,871324,68,937081,10
and-raise,592863,150,592863,150
android,574195,745,958525,10
android-sdk,584779,593,896354,28
android-widget,935950,103,935950,103
angle,674225,675,932796,98
angry,629355,165,864761,100
animate,574392,770,939485,50
animated,757145,69,894192,42
animated-gif,575782,248,959185,27
animation,601935,496,819523,10
ankhsvn,800548,572,900786,25
ann-nn,687439,129,687439,129
annotation,733037,153,945102,27
annotations,594597,696,939673,17
announcements,624549,173,624549,173
annoyance,643050,439,870874,18
annoyances,698474,139,787870,88
anonymity,771466,67,771466,67
anonymization,851481,30,851481,30
anonymize,565823,129,565823,129
anonymous,745124,239,900535,26
anonymous-access,904936,39,793175,38
anonymous-class,714602,281,918721,59
anonymous-function,915795,133,853365,35
anonymous-methods,626679,892,769733,42
anonymous-properties,893196,37,893196,37
anonymous-types,902563,311,672196,45
anonymous-users,741893,221,710701,35
anr,704311,149,704311,149
ansi,641390,505,946546,27
ansi-92,571032,94,571032,94
ansi-c,628526,504,628526,504
ansi-sql,595123,373,651883,83
ansiûsys,925859,28,925859,28
answers,771217,263,890908,58
ant,573235,843,883872,13
ant-contrib,658561,185,658561,185
ant-wireless,692950,190,692950,190
anthropology,875719,84,875719,84
anti-aliasing,578057,279,591476,148
anti-cheat,960499,108,960499,108
anti-golf,672977,355,672977,355
anti-pattern,746048,385,896095,22
anti-patterns,576988,846,594190,81
anti-shake,929919,61,929919,61
anti-shock,929919,61,929919,61
antialias,743529,52,743529,52
antialiasing,661658,312,817597,44
antispam,892193,196,892193,196
antivirus,602670,317,920549,14
antixsslibrary,689369,58,925703,27
antlr,611820,320,886511,21
antlrworks,759028,82,886511,21
antrun-plugin,909421,20,909421,20
any,702748,38,816874,22
any-language,897934,18,897934,18
anylogic,908318,19,908318,19
aol,733040,93,841329,77
aop,633710,255,872977,20
apache,658238,873,955702,10
apache-ant,724244,90,823909,75
apache-camel,567478,58,947330,16
apache-commons,646189,224,950006,10
apache-commons-logging,873051,63,936889,30
apache-config,593409,207,937156,13
apache-derby,584497,225,584497,225
apache-event,681081,293,681081,293
apache-public-licence,668268,98,668268,98
apache-regexp,705672,410,709195,118
apache-rewrite,913577,58,913577,58
apache-tiles,924366,13,924366,13
apache-tiles2û1,924366,13,924366,13
apache-tomcat,582156,258,883310,25
apache-worker,681081,293,681081,293
apache2,567814,538,932595,11
apachesolr,626938,133,626938,133
apartments,763417,121,763417,121
apatana,738092,56,738092,56
apc,598444,419,909518,26
apex,586088,586,801639,38
api,606515,1767,952809,13
api-design,587995,347,875471,61
apl,747625,133,843803,72
apm,736809,67,736809,67
apostrophe,755621,565,862460,81
app,655752,218,890857,42
app-code,575599,399,769120,43
app-config,758986,219,783131,63
app-data,626469,68,626469,68
app-offlineûhtm,565798,254,565798,254
app-pool,761688,104,821911,62
app-startup,619269,297,619269,297
app-store,837679,352,740310,50
app-themes,669991,93,943972,43
app-verifier,920740,39,920740,39
app-web,638925,122,638925,122
appbar,886681,31,886681,31
appcmd,591597,245,663453,214
appcompat,898220,98,898220,98
appdomain,658498,455,862679,41
appearance,813745,56,886446,21
append,704858,395,923561,32
appending,960736,43,960736,43
appframework,651470,147,857540,45
appfuse,866102,38,866102,38
appkit,840704,209,840704,209
apple,597347,669,759687,17
apple-expose,818839,65,818839,65
applescript,717095,101,942910,10
applet,637100,956,928232,16
appliance,582993,70,751451,68
application,673361,839,702883,15
application-architecture,755540,130,676821,39
application-blocks,910577,42,882512,41
application-client,858233,236,858233,236
application-context,956668,28,956668,28
application-data,626796,401,626796,401
application-demo,680079,84,680079,84
application-design,893625,944,948738,23
application-development,900596,154,847080,48
application-express,652587,518,652587,518
application-icon,847330,44,847330,44
application-name,956938,81,956938,81
application-pool,759304,406,610760,37
application-porting,830309,141,830309,141
application-roles,725620,48,725620,48
application-server,612634,364,678381,55
application-settings,621265,575,850416,46
application-shutdown,606043,347,909902,44
application-start,935940,96,765341,81
application-types,574452,243,574452,243
applicationcontext,600095,316,956668,28
applicationdidreceivemem,666965,236,666965,236
applicationdomain,793275,96,675089,74
applicationpool,590094,195,590094,195
applications,623551,524,636123,44
applicationsettingsbase,868217,40,868217,40
apply,813383,204,679137,72
appraisal,901020,77,901020,77
apprenticeship,571088,148,571088,148
approach,692418,138,692418,138
approximation,617185,125,600972,100
apps,781224,163,794431,77
appscript,881041,23,881041,23
appsettings,674373,460,878966,26
appspot,930578,46,930578,46
appstore,642188,460,959864,43
appworld,725227,111,725227,111
appûconfig,603009,826,796608,21
appûxaml,786183,216,589756,102
apr,751025,84,741719,62
april-fools,705845,5377,705198,130
apt,687553,262,634597,72
apt-get,683664,244,894449,17
aptana,766599,148,826551,19
aptanaûstudio,926663,51,926663,51
aqtime,934036,12,934036,12
aqtime4,934036,12,934036,12
aquaemacs,875543,143,575177,94
aquamacs,665600,155,665600,155
ar-mailer,828422,32,828422,32
arabic,730143,205,741335,43
araxis,825478,127,939916,5
arb,907756,40,907756,40
arcgis,818767,236,801665,17
archetype,957187,17,957187,17
archetypes,803829,27,803829,27
architechture,805046,73,805046,73
architect,843610,235,851115,150
architectural-patterns,575136,312,575136,312
architecture,621344,1421,956114,14
architecture-astronaut,703035,376,703035,376
architecture-design-patt,825302,321,825302,321
architecture-patterns,621878,183,621878,183
architectures,784781,216,880602,55
archive,584388,161,802964,23
archives,631484,203,821749,40
archiving,695768,103,904237,23
archtecture,673638,133,673638,133
arcmap,893065,36,893065,36
arcobjects,893065,36,893065,36
arctan,583296,433,583296,433
arduino,649135,317,895842,39
area,622287,674,817925,40
args,718057,82,718057,82
argument,911349,51,911349,51
argument-passing,803808,366,883632,61
argument-validation,788218,183,788218,183
argumentative,711140,16523,730652,126
arguments,724199,734,914968,38
argv,899276,100,899276,100
arithmetic,611732,760,829555,82
arm,644889,361,876331,23
arp,666864,168,682989,59
array,642897,1559,905828,35
array-filter,799875,212,799875,212
array-initialization,737240,412,737240,412
array-initialize,683073,798,704346,219
array-of-arrays,597720,819,597720,819
array-sorting,597863,593,597863,593
array2,648193,112,648193,112
arraycollection,613410,38,900184,37
arraylist,647260,712,960807,66
arrays,621493,1125,960146,10
arrow,941976,50,920481,25
arrow-keys,902767,156,898443,58
arsenal,656981,3484,656981,3484
art,666807,135,817607,105
article,723588,137,723588,137
articles,605913,255,848012,28
artifactory,635154,140,577377,51
artifacts,849655,87,849655,87
artificial-intelligence,683124,393,946528,24
artificial-neural-network,687439,129,693311,88
as,887943,167,714905,166
as-keyword,569522,283,569522,283
as2,709107,311,915288,16
as3,678687,1308,961256,11
as400,628082,218,916034,36
asadmin,904847,39,904847,39
ascending,851220,138,851220,138
ascii,576095,929,768189,18
ascii-art,885819,176,932441,123
ascx,675526,153,738739,60
asdf,680404,90,580083,84
asdoc,692791,98,722905,24
asf,670663,327,743429,109
ashx,619697,448,896662,20
asian,644900,63,817080,44
asio,601763,449,878510,13
ask-a-lawyer,578668,1120,688238,144
asking,758670,275,758670,275
asm,575317,238,849575,45
asmx,618900,731,778992,20
asnû1,595279,162,813101,60
asp,650449,593,828737,13
asp-classic,569845,738,912827,11
asp-image,655299,92,655299,92
asp-net,941468,71,941468,71
aspbutton,853268,82,853268,82
aspcontrols,844007,80,844007,80
aspect-oriented-programm,875512,100,875512,100
aspect-oriented-programmg,789630,138,872977,20
aspect-ratio,890244,52,890244,52
aspectj,871582,106,872977,20
aspects,959143,182,789759,104
aspen,793341,21,793341,21
asplinkbutton,880081,129,880081,129
aspmenu,809367,240,933370,29
aspnet-compiler,729153,156,893525,35
aspnet-merge,835027,47,835027,47
aspnet-regiisûexe,786661,72,786661,72
aspnetdb,644137,69,644137,69
aspnetsqlmembershipprovi,831063,18,831063,18
asprepeater,733426,79,733426,79
aspx,788330,676,808305,13
aspûlinqtoxml,927350,51,927350,51
aspûnet,570294,3680,926729,6
aspûnet-1û1,566133,213,669154,84
aspûnet-2û0,647598,660,952422,10
aspûnet-3û5,646049,454,897758,20
aspûnet-3û5-sp1,881574,28,881574,28
aspûnet-3û5sp1,752651,50,752651,50
aspûnet-ajax,616210,1242,954892,9
aspûnet-controls,701124,457,808878,32
aspûnet-customcontrol,591869,80,616560,61
aspûnet-development-serv,652777,154,652777,154
aspûnet-membership,623545,365,852155,19
aspûnet-mvc,766610,1491,941451,15
aspûnet-mvc-ajax,743405,64,795498,59
aspûnet-mvc-futures,736930,60,736930,60
aspûnet-mvc-rc,589935,681,589935,681
aspûnet-mvc-routing,817325,144,926075,26
aspûnet-profiles,726406,57,939599,13
aspûnet-routing,671561,132,900510,17
aspûnet-webcontrol,591869,80,591869,80
aspûnet-webservice,712606,432,931615,24
aspûnet2û0,877519,164,852982,31
aspûnet3û5,944923,121,944923,121
asscociative,874205,120,874205,120
assembler,577554,2504,849575,45
assemblies,658498,455,888435,12
assembly,791533,1413,855100,24
assembly-comparison,590863,197,590863,197
assembly-information,806903,63,806903,63
assembly-language,790569,138,790569,138
assembly-redirection,605527,105,605527,105
assembly-reference-path,563673,84,563673,84
assembly-resolution,592681,287,642299,72
assembly-signing,839697,62,839697,62
assemblybinding,638310,205,638310,205
assemblyinfo,688051,257,807999,48
assemblyûreflectiononly,570117,156,754983,113
assert,679021,351,943189,42
assertative-programming,821702,185,821702,185
assertion,817429,314,854934,54
assertions,767952,198,570153,51
assessment,790893,63,790893,63
asset,680019,219,680019,219
assignment,702255,586,941626,12
assistance,720467,74,720467,74
association,619665,225,833199,24
associations,619231,772,953303,18
associative,919330,63,919330,63
associative-array,597863,593,878692,25
associativity,930486,153,930486,153
ast,768634,336,812991,47
asterisk,615703,113,623142,41
astoria,660514,99,910705,72
astronomy,704088,155,837832,39
asx,750501,345,852506,149
asymmetric,939687,36,939687,36
asymptotic-complexity,851949,200,851949,200
async,598436,569,931385,55
async-api,563593,233,563593,233
async-workflow,719020,207,719020,207
asynccallback,734183,38,734183,38
asynchronous,582627,1346,914381,20
asynchronous-wcf-call,701938,26,701938,26
asyncsocket,798408,117,798408,117
asûnet,781927,31,781927,31
at,942749,68,942749,68
ataatapi,858657,64,858657,64
atexit,883370,50,883370,50
atl,624329,258,756108,19
atmega,890414,145,890414,145
atmel,956851,40,956851,40
atom,667239,127,863265,17
atomic,588866,2293,936451,8
atomic-values,692677,148,692677,148
atomicity,692544,67,692544,67
attach,610113,591,871391,37
attach-multiple-instances,914705,56,914705,56
attachedbehaviors,926451,33,925610,22
attachedproperties,600441,225,803886,74
attachment,565082,204,867187,20
attachment-fu,798775,87,913555,17
attachments,781374,183,817021,48
attack,933756,78,933756,78
attention,665790,600,737845,210
attention-management,626321,62,626321,62
attenuation,907756,40,907756,40
attitude,679621,1466,895542,187
attribute,826628,400,910191,8
attribute-accessor,895747,74,895747,74
attributed-mappingmodel,751427,68,751427,68
attributeerror,792721,200,872844,46
attributes,610883,514,941888,9
attribution,873823,45,873823,45
auctex,575249,94,575249,94
auction,664318,85,664318,85
audiences,731657,181,731657,181
audio,616897,584,824416,17
audio-cd,929575,35,929575,35
audio-recording,598344,280,911008,53
audio-streaming,716559,119,692327,74
audioplayer,908669,46,882753,38
audioscrobbler,717602,73,717602,73
audiostreaming,649949,290,853196,35
audit,769084,201,870142,26
audit-tables,740182,102,712364,81
audit-trail,818823,68,946796,20
auditing,586499,197,854937,26
augmented-reality,901484,36,901484,36
augmentedreality,902480,27,902480,27
australia,633300,106,833400,74
auth,915910,33,915910,33
authentication,733237,607,884132,3
authentication-json-apps,607116,139,607116,139
authentication-question,722209,29,722209,29
authenticator,599929,88,599929,88
authenticode,796059,83,796059,83
authkit,717776,23,717776,23
authlogic,787894,183,908746,29
author,864479,46,942575,34
authoring,872721,288,710272,52
authorization,584050,286,922501,10
authorizationmanager,653612,17,653612,17
authorize,746998,220,947269,20
auto,636270,342,913685,77
auto-complete,706049,138,706049,138
auto-generate,680019,219,713322,37
auto-generate-form,648069,42,648069,42
auto-implemented-propert,715900,62,715900,62
auto-increment,634231,589,677542,49
auto-indent,630476,227,630476,227
auto-populate,809864,145,927273,43
auto-properties,656564,337,649293,66
auto-ptr,627273,229,690356,66
auto-responder,727021,189,727021,189
auto-suggest,794870,228,941173,29
auto-update,700782,223,861388,47
auto-updater,855979,40,855979,40
auto-value,748605,80,748605,80
autobinder,874118,22,874118,22
autoboxing,766468,243,953180,98
autocad,779639,103,609697,19
autocalc,870727,103,870727,103
autocd,793678,30,793678,30
autocommit,758916,174,758916,174
autocomplete,612045,706,957207,21
autocompleteextender,781247,297,954892,9
autocompleter,685998,135,685998,135
autoconf,612672,489,909151,13
autocorrect,583113,176,583113,176
autodiscovery,672279,163,672279,163
autoeventwireup,563594,143,603173,60
autoexpect,604853,116,604853,116
autofac,626339,257,644747,93
autofield,777778,30,777778,30
autofill,682439,321,750670,116
autofilter,891189,21,891189,21
autoformatting,832441,59,832441,59
autogenerate,795075,105,909091,18
autogeneratecolumn,909091,18,909091,18
autohotkey,755397,134,818907,74
autoincrement,621369,1174,936214,30
autoit,618409,320,642698,66
autoload,616231,169,666136,61
autologout,709182,428,709182,428
automake,798497,93,917948,14
automapper,954480,27,954480,27
automapping,586888,299,927252,17
automata,831915,626,787134,131
automate,732521,464,858083,27
automated,755061,188,832299,21
automated-build,586098,134,806540,25
automated-deploy,588321,1314,749357,106
automated-refactoring,704062,165,865313,94
automated-testing,758519,89,726106,64
automated-tests,606550,722,947543,18
automatic,915941,190,776221,40
automatic-column-resizing,900908,10,900908,10
automatic-update,578588,86,578588,86
automation,658839,346,954926,12
autonomous,775863,178,775863,178
autonumber,766607,424,953232,33
autopostback,607918,599,827147,90
autoproperties,945585,105,945585,105
autorelease,613583,508,799582,49
autorepeat,876852,84,876852,84
autoresetevent,873073,39,873073,39
autorun,593311,206,785288,58
autosave,573381,166,691316,52
autosize,816555,119,752423,91
autotest,795345,50,795345,50
autotools,719057,304,944235,19
autoupdate,706902,390,658652,69
autovivification,651794,298,790516,188
autowired,633158,458,938485,41
availability,644856,299,578499,25
avatar,729327,103,913795,38
avatars,726863,124,726863,124
avaudioplayer,900461,65,946743,34
avaya,839846,64,839846,64
avchd,588924,66,588924,66
average,571986,289,839801,58
avfoundation,613758,318,896331,81
avg,653800,227,893824,32
avgpower,662548,95,662548,95
avi,601781,199,743220,57
avl-tree,575772,843,636759,73
avr,780819,312,960389,19
avr-gcc,780819,312,960389,19
avrdude,726974,103,740740,78
awesome,721215,179,721215,179
awk,757532,458,955976,13
awkward,725291,238,725291,238
aws,648270,326,878493,16
aws-s3,723469,123,723469,123
awstats,651561,63,656517,38
awt,695458,473,951017,41
axapta,579816,128,881631,26
axhost,772293,25,772293,25
axis,685176,247,935078,8
axis2,601771,339,898999,60
axshockwaveflash,726967,210,726967,210
axum,850870,113,850870,113
axwebbrowser,902453,37,902453,37
azimuth,779924,116,779924,116
azman,757452,225,922501,10
azure,585717,382,934347,14
b-tree,766488,134,913625,46
baadal,678097,130,678097,130
baby-names,571132,402,571132,402
back,813601,174,906700,25
back-button,645202,282,931910,42
back-button-control,754248,71,754248,71
back-light,826970,92,826970,92
back-to-basics,790913,147,592842,57
back-trace,743686,137,743686,137
backbutton,829046,66,829046,66
backend,710859,391,779639,103
background,600743,1059,766995,15
background-color,638948,589,875073,62
background-foreground,900411,99,900411,99
background-image,616903,979,883413,46
background-position,763714,236,594870,200
background-process,721297,340,921661,35
background-repeat,711674,178,711674,178
background-service,582222,106,582222,106
backgroundcolor,702510,112,752300,61
backgrounding,783531,215,666977,119
backgroundrb,656553,145,767469,35
backgroundworker,588150,721,709061,36
backlight,860540,27,860540,27
backport,603828,203,603828,203
backpropagation,693311,88,693311,88
backreference,816915,48,816915,48
backslash,893868,33,924388,28
backslashes,573430,607,770523,111
backticks,758611,174,867709,54
backtrace,582673,141,850617,121
backup,654852,636,766995,15
backup-strategies,724222,378,938610,25
backupexec,586281,115,858195,16
backups,642595,159,723971,34
backus-naur,624637,252,624637,252
backwards-compatibility,947302,203,857486,21
bad-alloc,590362,314,806976,117
bad-code,784895,236,691455,83
bad-habits,747066,299,747008,239
bad-ptr,691572,140,691572,140
bad-question,737667,120,737943,56
