Tag,qid_highest,Highest_Question_Rating,qid_lowest,Lowest_Question_Rating
actualwidth,951171,1,951171,1
ad,825237,2,911402,0
ad-hoc,836874,2,736660,0
ad-rotation,563706,11,563706,11
ada,655514,3,570113,0
adam,716898,5,684478,0
adapter,657701,1,569400,0
adapter-pattern,696350,7,696350,7
adaptor,870681,0,870681,0
adaûcalendarûtime,639643,0,639643,0
adblock,604304,2,612038,1
adc,892723,3,602744,1
add,849054,2,873832,-1
add-in,771887,4,597609,-1
add-on,617123,5,572203,0
add-type,688152,1,688152,1
addchild,725143,3,877871,0
addclass,820170,0,820170,0
added,682280,0,682280,0
addeventlistener,780951,0,780951,0
addhandler,941000,0,941000,0
addiction,844739,0,844739,0
addin,912486,1,912486,1
adding,718229,3,619588,1
addins,702870,3,810950,0
addition,754685,0,754685,0
addmessagefilter,919301,0,919301,0
addmodelerror,720471,0,720471,0
addobserver,714896,0,714896,0
addon,705460,0,705460,0
addons,789505,0,789505,0
addremoveprograms,740347,0,740347,0
address,929684,8,919106,-1
address-bar,573225,1,573225,1
address-book,563621,0,563621,0
addressbook,836190,3,836190,3
addresses,689736,0,689736,0
addressof,641081,1,641081,1
adfs,775000,0,775000,0
adjacency-list,608329,1,608329,1
adler32,927277,3,802039,0
admin,672431,3,632143,0
administration,637972,5,605874,-3
administration-console,835069,1,835069,1
administrator,667381,1,922822,0
ado,566596,3,602839,0
ado-net-data-services,815743,0,815743,0
ado-net-dataservices,637397,1,914244,0
adobe,621395,2,750366,-4
adobe-acrobat,693462,1,770473,0
adobe-air,900113,8,708736,-2
adobe-flex-3,583160,1,637660,0
adobe-reader,619158,0,619158,0
adodb,689036,1,654078,0
adodbapi,854008,2,854008,2
adonetappender,616729,0,616729,0
adoption,817607,3,705768,1
adorner,583808,1,764682,0
adornerlayer,764682,0,764682,0
adornment,593391,1,593391,1
adoûnet,849216,6,682050,-2
adoûnet-data-services,850763,3,610197,0
adoûnet-entity-data-model,583851,1,638133,0
adoûnet-entity-framework,922402,2,668997,0
adplus,831499,1,946717,0
ads,604960,1,571693,0
adsense,839478,8,571693,0
adserver,659209,0,659209,0
adsi,738587,1,614601,0
adt,851571,1,851571,1
adts,699414,1,637951,0
advanced,935951,30,731623,1
advanceddatagrid,592198,0,592198,0
advantage,799175,8,734310,0
advantage-database-server,822232,0,822232,0
adventureworks,597830,1,881507,0
advertised-shortcut,748540,0,748540,0
advertising,563706,11,623424,-1
advice,935951,30,715525,-2
advocacy,900149,4,900149,4
adwords,597371,0,597371,0
aegis,681129,4,681129,4
aero,643440,2,894397,0
aes,587301,6,667887,0
aescryptoserviceprovider,957388,5,957388,5
aesthetics,719428,6,734322,0
affinetransform,682770,2,690871,1
affinity,859747,3,628057,1
aforge,749241,0,749241,0
afp,628078,0,628078,0
after,843031,0,843031,0
afx,914448,1,914448,1
agent,568727,3,916644,0
aggregate,836379,4,585798,0
aggregate-functions,723054,1,773417,0
aggregateroot,869617,0,869617,0
aggregation,716423,6,807993,0
agi,696668,0,696668,0
agile,920992,23,577518,0
agile-development,628430,6,715126,0
agile-documentation,577518,0,577518,0
agile-processes,581093,4,581093,4
agile-software,730508,4,572611,2
agpl,731246,2,731246,2
agreement,642188,3,944159,1
ai,887533,18,837834,0
aiff-files,612507,1,612507,1
aim,599218,0,599218,0
air,900113,8,709119,-2
airplane,840525,2,840525,2
airupdateframework,724312,0,724312,0
aix,793858,2,829416,-1
ajax,732705,10,751259,-5
ajax+hebrew,834558,2,834558,2
ajax-control-toolkit,857264,0,857264,0
ajax-forms,586774,2,760097,0
ajax-helper,906453,0,906453,0
ajax-polling,705241,2,705241,2
ajax-pro,741470,1,741470,1
ajaxcontroltoolkit,781626,3,955314,-1
ajaxform,908975,0,908975,0
ajaxpro,810012,0,810012,0
ajaxtoolkit,637179,2,674231,0
ajaxûbeginform,794484,0,794484,0
ajaxûnet,648250,2,599310,0
ajp,933959,1,569861,0
akelos,716416,0,716416,0
alarm,822490,1,644073,0
alcatel,700350,0,700350,0
alchemy,701965,0,701965,0
alert,804454,3,661976,0
alerts,563890,2,634712,0
alfresco,676884,0,676884,0
algebra,620883,8,662120,0
algebraic-data-types,870919,4,870919,4
algol,833063,5,838079,3
algorithm,643032,54,662291,-12
algorithm-design,906130,2,600065,0
algorithms,958678,3,958678,3
alias,890086,7,593619,0
alias-column,853016,1,853016,1
aliases,886194,0,886194,0
aliasing,781358,3,781358,3
align,732139,4,757627,0
alignment,612443,10,713284,-1
alive,614336,0,614336,0
all,702748,1,841057,0
all-db-servers,712580,4,712580,4
all-files,776902,1,776902,1
all-objects,630847,3,630847,3
all-of-computer-science,907873,1,907873,1
allegro,928163,1,928163,1
alloca,938590,0,938590,0
allocation,571945,7,765937,-1
allocator,727066,0,727066,0
allusersprofile,784487,0,784487,0
alm,951949,1,951949,1
alpha,745404,2,603138,0
alphabet,871332,1,924109,0
alphabetical,719614,0,719614,0
alphabetized,622031,0,622031,0
alphablend,824741,0,824741,0
alphablending,641548,1,601776,0
alphanumeric,750093,1,591238,0
alsa,790960,3,703128,1
alt,739267,1,773569,0
alter,616104,0,616104,0
alter-table,626609,3,725717,0
alternate-access-mappings,720511,2,720511,2
alternateview,778649,1,778649,1
alternative,629919,8,737497,0
alternatives,630714,13,960097,2
alu,576242,0,576242,0
always-on-top,593403,3,593176,0
alwaysonbottom,643879,1,643879,1
alûexe,676552,1,676552,1
amazon,623149,12,614372,0
amazon-ec2,639545,18,564225,0
amazon-s3,644649,5,597289,0
amazonwebservices,625644,4,614372,0
ambiguity,626737,3,681200,0
ambiguous,951388,6,899130,0
ambiguous-call,887044,5,887044,5
amcap,919991,0,919991,0
amd,839667,9,674406,0
amd64,800076,3,800076,3
amend,907133,1,907133,1
amf,646833,4,585685,0
amfphp,652134,2,657571,0
ami,681494,1,693491,0
amiga,705863,10,705863,10
amortization,908321,1,952246,0
amplifier,951378,0,951378,0
amplitude,742546,1,742546,1
amqp,665746,0,665746,0
anagram,909449,1,880559,0
analysis,749400,13,733153,0
analysis-patterns,621878,3,598798,0
analysis-services,626078,1,566296,0
analytic-functions,956958,0,956958,0
analytics,791125,8,585986,0
analyzer,893658,2,949398,1
anchor,905033,3,570101,0
anchor-tags,566276,3,633129,0
anchors,606681,2,652049,0
and,895743,1,733686,0
and-raise,592863,1,592863,1
android,896377,12,601534,-8
android-sdk,792155,5,606694,0
android-widget,935950,3,935950,3
angle,932796,3,576162,0
angry,629355,9,864761,0
animate,953766,6,823953,-3
animated,757145,0,894192,-1
animated-gif,953766,6,743267,0
animation,610529,4,567837,0
ankhsvn,695136,5,644944,0
ann-nn,687439,2,687439,2
annotation,746694,2,918282,0
annotations,730240,4,611473,0
announcements,624549,1,624549,1
annoyance,643050,4,727019,0
annoyances,787870,2,698474,0
anonymity,771466,0,771466,0
anonymization,851481,1,851481,1
anonymize,565823,1,565823,1
anonymous,745124,3,603232,0
anonymous-access,793175,0,793175,0
anonymous-class,714602,4,626935,0
anonymous-function,853365,0,853365,0
anonymous-methods,672918,15,769733,0
anonymous-properties,893196,0,893196,0
anonymous-types,614536,5,607433,0
anonymous-users,726137,1,710701,0
anr,704311,0,704311,0
ansi,784900,8,641390,0
ansi-92,571032,0,571032,0
ansi-c,628526,8,628526,8
ansi-sql,595123,5,651883,2
ansiûsys,925859,0,925859,0
answers,771217,2,890908,0
ant,603189,8,941628,-1
ant-contrib,658561,1,658561,1
ant-wireless,692950,1,692950,1
anthropology,875719,2,875719,2
anti-aliasing,591476,4,765838,1
anti-cheat,960499,5,960499,5
anti-golf,672977,2,672977,2
anti-pattern,746048,2,896095,1
anti-patterns,576988,15,633006,0
anti-shake,929919,2,929919,2
anti-shock,929919,2,929919,2
antialias,743529,0,743529,0
antialiasing,900053,2,700727,0
antispam,892193,3,892193,3
antivirus,653396,4,835565,-3
antixsslibrary,869089,1,689369,0
antlr,611820,3,886904,-2
antlrworks,677508,1,886511,0
antrun-plugin,909421,0,909421,0
any,702748,1,816874,0
any-language,897934,0,897934,0
anylogic,908318,0,908318,0
aol,733040,0,733040,0
aop,849994,4,577382,0
apache,702526,5,682562,-3
apache-ant,594392,2,724244,1
apache-camel,567478,1,947330,0
apache-commons,869945,5,619614,0
apache-commons-logging,873051,0,873051,0
apache-config,913869,2,580032,0
apache-derby,584497,1,584497,1
apache-event,681081,2,681081,2
apache-public-licence,668268,0,668268,0
apache-regexp,705672,2,709195,1
apache-rewrite,913577,0,913577,0
apache-tiles,924366,0,924366,0
apache-tiles2û1,924366,0,924366,0
apache-tomcat,582156,1,578073,0
apache-worker,681081,2,681081,2
apache2,717952,3,827878,-1
apachesolr,626938,2,626938,2
apartments,763417,0,763417,0
apatana,738092,0,738092,0
apc,901356,2,598444,0
apex,577346,2,603857,-3
api,829007,20,632090,-4
api-design,587995,7,875471,1
apl,747625,4,843803,0
apm,736809,1,736809,1
apostrophe,755621,2,676019,0
app,858017,5,641223,0
app-code,575599,1,593628,0
app-config,758986,2,737946,0
app-data,626469,0,626469,0
app-offlineûhtm,565798,1,565798,1
app-pool,761688,0,761688,0
app-startup,619269,0,619269,0
app-store,896377,12,743555,0
app-themes,669991,1,669991,1
app-verifier,920740,0,920740,0
app-web,638925,0,638925,0
appbar,886681,0,886681,0
appcmd,591597,1,663453,0
appcompat,898220,2,898220,2
appdomain,776338,6,655802,0
appearance,813745,0,813745,0
append,912279,4,704858,0
appending,960736,1,960736,1
appframework,651470,1,651470,1
appfuse,866102,0,866102,0
appkit,840704,2,840704,2
apple,859095,8,643265,-1
apple-expose,818839,2,818839,2
applescript,717095,2,569187,0
applet,580995,9,623411,-1
appliance,582993,6,751451,0
application,652826,10,639799,-2
application-architecture,929133,4,574892,0
application-blocks,882512,1,910577,0
application-client,858233,0,858233,0
application-context,956668,2,956668,2
application-data,626796,4,626796,4
application-demo,680079,0,680079,0
application-design,893625,62,840002,0
application-development,847080,1,847080,1
application-express,652587,4,652587,4
application-icon,847330,0,847330,0
application-name,956938,0,956938,0
application-pool,759304,4,610760,0
application-porting,830309,0,830309,0
application-roles,725620,0,725620,0
application-server,673446,4,612634,0
application-settings,621265,2,716564,0
application-shutdown,606043,2,846576,0
application-start,935940,2,765341,0
application-types,574452,0,574452,0
applicationcontext,956668,2,600095,1
applicationdidreceivemem,666965,2,666965,2
applicationdomain,675089,0,675089,0
applicationpool,590094,1,590094,1
applications,943539,6,564248,0
applicationsettingsbase,868217,0,868217,0
apply,744435,3,679137,1
appraisal,901020,1,901020,1
apprenticeship,571088,11,571088,11
approach,692418,2,692418,2
approximation,600972,2,600972,2
apps,781224,3,718401,0
appscript,881041,0,881041,0
appsettings,909688,5,674373,0
appspot,930578,0,930578,0
appstore,671382,6,643265,-1
appworld,725227,5,725227,5
appûconfig,634439,4,563717,0
appûxaml,638911,1,589756,0
apr,751025,2,741719,0
april-fools,704353,28,706494,0
apt,687553,3,634597,0
apt-get,683664,3,894449,0
aptana,870773,5,638903,0
aptanaûstudio,926663,2,926663,2
aqtime,934036,0,934036,0
aqtime4,934036,0,934036,0
aquaemacs,875543,2,575060,1
aquamacs,665600,3,665600,3
ar-mailer,828422,1,828422,1
arabic,730143,3,872795,0
araxis,825478,1,939916,0
arb,907756,2,907756,2
arcgis,658301,1,566735,0
archetype,957187,0,957187,0
archetypes,803829,1,803829,1
architechture,805046,1,805046,1
architect,843610,9,851115,2
architectural-patterns,575136,3,575136,3
architecture,600918,18,636228,-1
architecture-astronaut,703035,3,703035,3
architecture-design-patt,825302,11,825302,11
architecture-patterns,621878,3,621878,3
architectures,784781,5,880602,4
archive,612428,3,802964,0
archives,631484,1,821749,-1
archiving,921451,4,904237,0
archtecture,673638,1,673638,1
arcmap,893065,0,893065,0
arcobjects,893065,0,893065,0
arctan,583296,2,583296,2
arduino,780819,7,959183,0
area,905635,5,645089,0
args,718057,1,718057,1
argument,911349,1,911349,1
argument-passing,803808,5,810137,0
argument-validation,788218,1,788218,1
argumentative,711140,44,785898,-3
arguments,724199,11,763861,-1
argv,899276,1,899276,1
arithmetic,611732,15,684112,0
arm,644889,6,876331,0
arp,832295,2,666864,0
array,716597,10,881993,-4
array-filter,799875,0,799875,0
array-initialization,737240,2,737240,2
array-initialize,704346,2,625690,0
array-of-arrays,597720,9,597720,9
array-sorting,597863,0,597863,0
array2,648193,1,648193,1
arraycollection,613410,1,613410,1
arraylist,566655,4,568302,-1
arrays,593730,18,674020,-7
arrow,920481,0,920481,0
arrow-keys,898443,1,893053,0
arsenal,656981,39,656981,39
art,817607,3,666807,2
article,723588,0,723588,0
articles,577327,4,665360,0
artifactory,577377,1,577377,1
artifacts,849655,1,849655,1
artificial-intelligence,683124,11,779817,-6
artificial-neural-network,687439,2,693311,1
as,714905,1,887943,0
as-keyword,569522,6,569522,6
as2,927947,2,593928,0
as3,599825,6,566066,0
as400,607502,4,611693,0
asadmin,904847,0,904847,0
ascending,851220,0,851220,0
ascii,816285,7,834316,-4
ascii-art,885819,12,932441,4
ascx,841161,2,712551,-4
asdf,580083,3,680404,2
asdoc,692791,2,722905,0
asf,743429,1,670663,0
ashx,612242,2,582748,0
asian,817080,3,644900,1
asio,717370,3,578794,0
ask-a-lawyer,578668,30,688238,0
asking,758670,0,758670,0
asm,947211,7,692995,0
asmx,808168,3,603658,-1
asnû1,595279,3,810043,1
asp,686865,7,629207,-2
asp-classic,869269,7,944213,-1
asp-image,655299,0,655299,0
asp-net,941468,1,941468,1
aspbutton,853268,0,853268,0
aspcontrols,844007,1,844007,1
aspect-oriented-programm,875512,4,875512,4
aspect-oriented-programmg,789630,5,633506,1
aspect-ratio,890244,0,890244,0
aspectj,871582,1,901632,0
aspects,789759,2,789759,2
aspen,793341,-1,793341,-1
asplinkbutton,880081,3,880081,3
aspmenu,933370,1,691177,0
aspnet-compiler,717888,0,717888,0
aspnet-merge,835027,0,835027,0
aspnet-regiisûexe,786661,0,786661,0
aspnetdb,644137,0,644137,0
aspnetsqlmembershipprovi,831063,0,831063,0
asprepeater,733426,0,733426,0
aspx,630476,3,712551,-4
aspûlinqtoxml,927350,0,927350,0
aspûnet,910465,32,661184,-8
aspûnet-1û1,566133,2,669154,-1
aspûnet-2û0,573174,3,629162,-3
aspûnet-3û5,830581,6,897758,-1
aspûnet-3û5-sp1,881574,0,881574,0
aspûnet-3û5sp1,752651,0,752651,0
aspûnet-ajax,716540,4,665336,-3
aspûnet-controls,604620,3,616560,0
aspûnet-customcontrol,591869,0,591869,0
aspûnet-development-serv,652777,1,652777,1
aspûnet-membership,757452,5,823584,-1
aspûnet-mvc,766610,27,692473,-3
aspûnet-mvc-ajax,743405,0,743405,0
aspûnet-mvc-futures,736930,1,736930,1
aspûnet-mvc-rc,589935,1,589935,1
aspûnet-mvc-routing,782347,3,664955,0
aspûnet-profiles,726406,0,726406,0
aspûnet-routing,685193,2,671561,-1
aspûnet-webcontrol,591869,0,591869,0
aspûnet-webservice,663385,0,663385,0
aspûnet2û0,871839,1,800426,0
aspûnet3û5,944923,3,944923,3
asscociative,874205,3,874205,3
assembler,577554,44,606067,0
assemblies,771524,9,570117,0
assembly,791533,14,863096,-3
assembly-comparison,590863,1,590863,1
assembly-information,806903,0,806903,0
assembly-language,790569,0,790569,0
assembly-redirection,605527,2,605527,2
assembly-reference-path,563673,0,563673,0
assembly-resolution,578152,3,595504,0
assembly-signing,839697,2,839697,2
assemblybinding,638310,2,638310,2
assemblyinfo,688051,2,699580,0
assemblyûreflectiononly,754983,5,570117,0
assert,777261,6,607299,0
assertative-programming,821702,3,821702,3
assertion,817429,2,854934,0
assertions,767952,8,569369,0
assessment,790893,0,790893,0
asset,680019,1,680019,1
assignment,627760,4,627017,0
assistance,720467,0,720467,0
association,833199,1,573467,0
associations,636296,3,697840,0
associative,919330,1,919330,1
associative-array,688849,8,597863,0
associativity,930486,0,930486,0
ast,768634,8,665609,0
asterisk,615703,1,628920,0
astoria,660514,0,910705,-6
astronomy,704088,4,779924,0
asx,750501,1,852506,0
asymmetric,939687,1,939687,1
asymptotic-complexity,851949,8,851949,8
async,598436,6,738276,0
async-api,563593,1,563593,1
async-workflow,719020,3,719020,3
asynccallback,734183,0,734183,0
asynchronous,563747,6,941156,-5
asynchronous-wcf-call,701938,0,701938,0
asyncsocket,798408,0,798408,0
asûnet,781927,0,781927,0
at,942749,3,942749,3
ataatapi,858657,3,858657,3
atexit,883370,2,883370,2
atl,821676,4,641896,-1
atmega,890414,1,890414,1
atmel,956851,1,956851,1
atom,939642,4,667239,0
atomic,588866,5,651875,-2
atomic-values,692677,0,692677,0
atomicity,692544,2,692544,2
attach,863950,2,565082,0
attach-multiple-instances,914705,0,914705,0
attachedbehaviors,925610,0,925610,0
attachedproperties,600441,1,736293,0
attachment,658771,1,724175,-2
attachment-fu,798775,1,798775,1
attachments,782066,2,576226,0
attack,933756,0,933756,0
attention,665790,3,737845,1
attention-management,626321,0,626321,0
attenuation,907756,2,907756,2
attitude,679621,22,895542,9
attribute,635291,2,639147,0
attribute-accessor,895747,2,895747,2
attributed-mappingmodel,751427,1,751427,1
attributeerror,792721,1,811001,0
attributes,610883,9,580924,0
attribution,873823,1,873823,1
auctex,575249,0,575249,0
auction,664318,0,664318,0
audiences,731657,2,731657,2
audio,604453,7,569321,0
audio-cd,929575,0,929575,0
audio-recording,698974,4,911008,0
audio-streaming,716559,1,692327,0
audioplayer,908669,4,882753,0
audioscrobbler,717602,0,717602,0
audiostreaming,780711,2,598778,0
audit,617225,3,695817,0
audit-tables,712364,0,712364,0
audit-trail,818823,1,946796,0
auditing,915178,3,590844,0
augmented-reality,901484,0,901484,0
augmentedreality,902480,0,902480,0
australia,746507,1,839443,-4
auth,915910,0,915910,0
authentication,647172,13,572244,-3
authentication-json-apps,607116,0,607116,0
authentication-question,722209,0,722209,0
authenticator,599929,0,599929,0
authenticode,796059,0,796059,0
authkit,717776,2,717776,2
authlogic,908746,3,787894,0
author,942575,1,864479,0
authoring,872721,11,749565,0
authorization,757452,5,570605,0
authorizationmanager,653612,0,653612,0
authorize,746998,3,924514,0
auto,636270,2,582506,0
auto-complete,893761,5,706049,0
auto-generate,729148,4,713322,0
auto-generate-form,648069,0,648069,0
auto-implemented-propert,715900,0,715900,0
auto-increment,845402,4,592966,0
auto-indent,630476,3,630476,3
auto-populate,927273,1,809864,0
auto-properties,656564,4,664883,0
auto-ptr,627273,5,880463,0
auto-responder,727021,1,727021,1
auto-suggest,794870,6,728596,0
auto-update,586277,7,758237,0
auto-updater,855979,0,855979,0
auto-value,748605,0,748605,0
autobinder,874118,1,874118,1
autoboxing,766468,4,953180,1
autocad,609697,0,609697,0
autocalc,870727,1,870727,1
autocd,793678,1,793678,1
autocommit,758916,0,758916,0
autocomplete,893799,6,574979,0
autocompleteextender,743335,1,698904,0
autocompleter,685998,1,685998,1
autoconf,600274,4,612672,0
autocorrect,583113,2,583113,2
autodiscovery,672279,1,672279,1
autoeventwireup,603173,1,563594,0
autoexpect,604853,2,604853,2
autofac,626339,1,644747,0
autofield,777778,0,777778,0
autofill,682439,7,750670,2
autofilter,891189,0,891189,0
autoformatting,832441,0,832441,0
autogenerate,795075,1,713241,0
autogeneratecolumn,909091,1,909091,1
autohotkey,840478,3,818907,0
autoincrement,621369,3,669892,0
autoit,618409,1,618409,1
autoload,616231,2,666136,1
autologout,709182,1,709182,1
automake,767922,0,767922,0
automapper,954480,1,954480,1
automapping,891999,1,586888,0
automata,616292,12,787134,3
automate,702248,2,579760,0
automated,790209,3,700792,0
automated-build,567383,1,642219,0
automated-deploy,657237,1,588321,0
automated-refactoring,704062,1,865313,0
automated-testing,758519,1,726106,0
automated-tests,733756,11,574337,-1
automatic,915941,1,776221,-3
automatic-column-resizing,900908,0,900908,0
automatic-update,578588,2,578588,2
automation,839360,10,698410,-1
autonomous,775863,4,775863,4
autonumber,766607,1,767089,0
autopostback,730800,2,634736,0
autoproperties,945585,0,945585,0
autorelease,613583,3,811290,-2
autorepeat,876852,0,876852,0
autoresetevent,873073,0,873073,0
autorun,670965,2,593311,0
autosave,691316,2,573381,0
autosize,740924,1,733566,0
autotest,795345,0,795345,0
autotools,719057,7,572760,0
autoupdate,691663,8,658652,1
autovivification,651794,3,790516,1
autowired,633158,3,938485,0
availability,644856,3,578499,0
avatar,729327,2,913795,0
avatars,726863,1,726863,1
avaudioplayer,946743,1,900461,0
avaya,839846,0,839846,0
avchd,588924,1,588924,1
average,655326,3,632988,0
avfoundation,613758,1,896331,0
avg,893824,2,653800,0
avgpower,662548,1,662548,1
avi,743429,1,664407,-1
avl-tree,575772,1,575772,1
avr,780819,7,726974,-1
avr-gcc,780819,7,960389,0
avrdude,740740,0,726974,-1
awesome,721215,1,721215,1
awk,757532,7,723218,-4
awkward,725291,9,725291,9
aws,648270,3,647242,-1
aws-s3,723469,2,723469,2
awstats,651561,1,656517,0
awt,877570,7,672238,-1
axapta,648943,1,579816,0
axhost,772293,0,772293,0
axis,826914,2,573624,0
axis2,656459,1,573624,0
axshockwaveflash,726967,3,726967,3
axum,850870,2,850870,2
axwebbrowser,902453,0,902453,0
azimuth,779924,0,779924,0
azman,757452,5,653612,0
azure,753122,3,571439,0
b-tree,764221,3,913625,0
baadal,678097,0,678097,0
baby-names,571132,9,571132,9
back,745437,1,745437,1
back-button,640973,3,754248,-1
back-button-control,754248,-1,754248,-1
back-light,826970,0,826970,0
back-to-basics,790913,1,592842,0
back-trace,743686,3,743686,3
backbutton,829046,1,829046,1
backend,710859,4,696938,-1
background,637921,3,663973,-3
background-color,638948,4,734068,0
background-foreground,900411,0,900411,0
background-image,724132,2,616903,-1
background-position,594870,1,763714,0
background-process,721297,6,579487,0
background-repeat,711674,0,711674,0
background-service,582222,0,582222,0
backgroundcolor,702510,0,702510,0
backgrounding,783531,1,666977,0
backgroundrb,656553,5,791503,0
backgroundworker,889102,4,581743,0
backlight,860540,0,860540,0
backport,603828,2,603828,2
backpropagation,693311,1,693311,1
backreference,816915,0,816915,0
backslash,893868,0,893868,0
backslashes,573430,4,770523,0
backticks,758611,3,867709,0
backtrace,850617,7,582673,0
backup,604710,6,821652,-2
backup-strategies,604710,6,565361,0
backupexec,586281,0,586281,0
backups,790055,1,642595,0
backus-naur,624637,1,624637,1
backwards-compatibility,947302,3,810815,0
bad-alloc,590362,2,806976,0
