Tag,aid_highest,Highest_Answer_Rating,aid_lowest,Lowest_Answer_Rating
activedirectory,910014,1,865517,0
activemerchant,886251,6,937527,0
activemq,731754,5,603557,-1
activeperl,813500,1,834465,0
activerecord,826227,13,603606,-1
activereports,673932,4,732908,0
activeresource,847756,2,683733,0
activescaffold,870875,1,872062,0
activestate,748126,2,748126,2
activesupport,753257,1,960147,0
activesync,721759,3,727809,0
activetcl,915077,0,915077,0
activex,638814,8,836594,-2
activex-exe,585767,1,586015,0
activity,670218,4,729676,-1
actors,918617,4,568844,0
acts-as-ferret,746513,1,746513,1
acts-as-state-machine,682940,1,682966,0
acts-as-versioned,594906,5,605047,-1
actualwidth,951229,1,951229,1
ad,825274,4,788199,0
ad-hoc,567761,7,736684,0
ad-rotation,586052,12,604358,0
ada,743212,13,607649,0
adam,717000,3,717292,0
adapter,746693,2,569691,0
adapter-pattern,696380,7,696376,0
adaptor,872858,0,872858,0
adaûcalendarûtime,639950,1,639950,1
adblock,604321,1,609336,0
adc,602779,3,602763,0
add,849070,4,626656,0
add-in,942384,5,849306,-1
add-on,617132,8,567504,-1
add-type,688654,5,688275,0
addchild,725204,4,878013,1
addclass,820230,2,820230,2
added,682323,4,682294,0
addeventlistener,787080,2,793334,0
addhandler,941258,1,941047,0
addiction,844756,3,844748,0
addin,912505,1,912505,1
adding,718234,7,619617,1
addins,702881,5,774393,0
addition,754694,2,754693,0
addmessagefilter,919309,1,919309,1
addmodelerror,721221,0,721221,0
addobserver,715006,2,714994,0
addon,705471,2,845964,1
addons,789717,2,789626,1
addremoveprograms,957140,3,740366,0
address,893489,15,578437,0
address-bar,953307,1,573232,0
address-book,716263,4,716267,0
addressbook,839453,3,840819,1
addresses,723533,1,723533,1
addressof,641084,26,641086,0
adfs,847419,1,781065,0
adjacency-list,764644,3,748171,0
adler32,927511,2,802224,0
admin,784880,7,632156,0
administration,894653,13,654424,0
administration-console,835156,3,835086,0
administrator,667390,2,923273,0
ado,837734,6,837473,-1
ado-net-data-services,815894,0,815894,0
ado-net-dataservices,637454,2,914342,0
adobe,705162,2,573517,0
adobe-acrobat,770501,2,693492,0
adobe-air,674318,5,573517,0
adobe-flex-3,583242,3,583187,0
adobe-reader,770501,2,621278,0
adodb,742900,3,724620,0
adodbapi,854284,1,854151,0
adonetappender,619078,0,619078,0
adoption,817635,4,817628,0
adorner,583927,1,583927,1
adornerlayer,764724,1,764724,1
adornment,593606,3,593606,3
adoûnet,749633,9,602931,-2
adoûnet-data-services,936706,4,654493,0
adoûnet-entity-data-model,745367,1,587867,0
adoûnet-entity-framework,692702,3,769116,-1
adplus,833341,1,946726,0
ads,571701,2,605167,0
adsense,839557,4,846781,0
adserver,661632,0,661632,0
adsi,614774,1,614744,0
adt,854267,1,854267,1
adts,699490,2,699449,-2
advanced,935961,33,948086,-1
advanceddatagrid,768952,1,592226,0
advantage,799209,6,764173,0
advantage-database-server,822367,2,822367,2
adventureworks,597847,4,881513,0
advertised-shortcut,748696,1,748696,1
advertising,586052,12,833109,-1
advice,935961,33,691109,-5
advocacy,900233,7,900164,-1
adwords,597454,2,780689,-1
aegis,681137,3,686123,0
aero,853554,2,634070,0
aes,570957,9,587325,-2
aescryptoserviceprovider,957459,4,957459,4
aesthetics,719434,11,903052,0
affinetransform,682793,2,682848,0
affinity,827799,6,628107,0
aforge,788904,0,788904,0
afp,629028,1,747339,0
after,843047,0,843047,0
afx,915511,1,915511,1
agent,589844,2,568844,0
aggregate,674968,8,726616,-1
aggregate-functions,942940,5,739258,0
aggregateroot,875327,1,875327,1
aggregation,822403,7,680803,0
agi,707803,0,707803,0
agile,668177,28,804580,-1
agile-development,628462,6,658942,0
agile-documentation,644865,1,644865,1
agile-processes,581150,1,581157,0
agile-software,572662,9,605044,0
agpl,731298,3,731283,0
agreement,653359,2,642196,0
ai,887560,12,616335,-2
aiff-files,612640,4,612539,0
aim,644921,0,644921,0
air,907688,7,824756,-2
airplane,840913,1,857518,-1
airupdateframework,724466,1,724822,0
aix,793867,9,692277,0
ajax,911214,21,705299,-4
ajax+hebrew,834577,2,834577,2
ajax-control-toolkit,896605,1,857304,0
ajax-forms,803580,6,597215,0
ajax-helper,906477,0,906477,0
ajax-polling,705469,2,705469,2
ajax-pro,741487,1,741658,0
ajaxcontroltoolkit,587119,3,624564,-1
ajaxform,909097,1,909268,0
ajaxpro,810144,0,810144,0
ajaxtoolkit,789070,3,666548,0
ajaxûbeginform,794510,0,794510,0
ajaxûnet,648481,5,599359,0
ajp,569982,2,935734,0
akelos,716856,1,716856,1
alarm,644252,1,644252,1
alcatel,700425,0,700425,0
alchemy,701995,1,701995,1
alert,894539,12,894560,-1
alerts,563905,10,564011,0
alfresco,886974,0,886974,0
algebra,668658,8,580380,0
algebraic-data-types,871002,9,870936,0
algol,838107,4,833074,0
algorithm,910340,128,600371,-9
algorithm-design,600080,6,879269,0
algorithms,959135,2,959135,2
alias,706601,11,619145,0
alias-column,853034,1,853047,-1
aliases,886215,1,886204,0
aliasing,781420,2,781420,2
align,757658,19,732168,-1
alignment,953934,8,699086,-1
alive,614350,5,614349,0
all,703622,1,705912,0
all-db-servers,712589,2,712600,1
all-files,776914,2,776906,0
all-objects,630878,7,630878,7
all-of-computer-science,908104,5,908104,5
allegro,930566,0,930566,0
alloca,938701,4,938598,0
allocation,768934,40,956885,-3
allocator,727087,0,727087,0
allusersprofile,784583,1,784498,0
alm,952065,1,952065,1
alpha,609851,17,601590,0
alphabet,924139,3,924188,-3
alphabetical,719617,1,721229,0
alphabetized,622065,2,622127,1
alphablend,824859,2,824859,2
alphablending,806189,4,625476,0
alphanumeric,801361,7,591257,0
alsa,790973,7,720102,0
alt,773586,4,773601,0
alter,616130,3,616399,0
alter-table,689766,7,669215,-1
alternate-access-mappings,720543,3,720537,0
alternateview,783991,2,788135,0
alternative,925679,19,925731,-4
alternatives,630751,20,630758,0
alu,576263,1,576438,0
always-on-top,593421,4,593425,0
alwaysonbottom,643882,1,643882,1
alûexe,681006,0,681006,0
amazon,623151,11,727976,0
amazon-ec2,670027,13,674542,-1
amazon-s3,732061,7,835579,-1
amazonwebservices,628037,5,623989,0
ambiguity,626746,6,583405,0
ambiguous,951411,23,951406,-3
ambiguous-call,887060,7,887102,2
amcap,926234,0,926234,0
amd,839719,5,687687,0
amd64,800090,12,800088,1
amend,907319,2,909853,0
amf,671030,3,588856,0
amfphp,661275,1,663371,-2
ami,693615,1,720549,0
amiga,711632,7,705906,1
amortization,908347,2,908337,0
amplifier,951480,1,951466,0
amplitude,742575,2,782014,0
amqp,672902,1,897876,0
anagram,880611,3,880619,0
analysis,643844,6,581316,0
analysis-patterns,621895,3,621887,1
analysis-services,789679,6,573519,0
analytic-functions,957296,1,957296,1
analytics,792504,7,822912,-1
analyzer,893679,3,893814,1
anchor,774167,5,826581,-1
anchor-tags,566398,6,826581,-1
anchors,808636,4,826581,-1
and,871373,2,734169,0
and-raise,593281,1,593281,1
android,896425,17,905252,-2
android-sdk,792168,8,905252,-2
android-widget,938098,0,938098,0
angle,932812,8,674284,-2
angry,629362,4,864812,0
animate,574454,6,574417,0
animated,757186,2,894250,0
animated-gif,789723,3,780568,-1
animation,704154,7,569005,0
ankhsvn,695145,13,900805,-1
ann-nn,687452,2,726570,1
annotation,934372,5,746863,0
annotations,884300,9,596075,0
announcements,633366,2,625452,0
annoyance,643067,25,891152,-2
annoyances,698504,1,698484,0
anonymity,771532,4,771549,1
anonymization,851745,2,851745,2
anonymize,565930,6,566803,2
anonymous,834616,7,656192,0
anonymous-access,793212,1,793180,0
anonymous-class,671654,10,714676,-1
anonymous-function,915819,6,915827,0
anonymous-methods,801563,12,582025,0
anonymous-properties,893284,1,893284,1
anonymous-types,614622,11,652893,-1
anonymous-users,710708,2,726201,0
anr,707316,1,707316,1
ansi,784911,8,642788,0
ansi-92,571077,2,571056,1
ansi-c,628538,16,628532,2
ansi-sql,595155,4,595899,0
ansiûsys,925920,2,925915,1
answers,771228,2,771220,-1
ant,722537,11,697011,-6
ant-contrib,669503,2,658816,1
ant-wireless,693167,1,693167,1
anthropology,875736,1,875722,0
anti-aliasing,590056,1,579306,0
anti-cheat,960697,3,961117,0
anti-golf,673010,13,673018,0
anti-pattern,746055,4,746049,-1
anti-patterns,577198,20,578692,-1
anti-shake,929950,4,930496,0
anti-shock,929950,4,930496,0
antialias,743703,0,743703,0
antialiasing,661699,4,661667,0
antispam,892202,5,892318,0
antivirus,602745,4,594540,0
antixsslibrary,924861,1,689398,0
antlr,611844,5,637373,-1
antlrworks,677527,1,677554,0
antrun-plugin,909428,2,909428,2
any,703622,1,705912,0
any-language,897979,0,897979,0
anylogic,908361,0,908361,0
aol,842396,2,933146,0
aop,885607,6,960077,-1
apache,934731,12,697011,-6
apache-ant,594498,2,724254,0
apache-camel,581420,1,957217,0
apache-commons,870015,5,870147,-1
apache-commons-logging,873068,2,939449,0
apache-config,580067,3,580072,0
apache-derby,584884,2,584617,0
apache-event,681291,2,681323,1
apache-public-licence,669255,3,668498,1
apache-regexp,709264,3,709261,-1
apache-rewrite,913628,1,913615,0
apache-tiles,954054,0,954054,0
apache-tiles2û1,954054,0,954054,0
apache-tomcat,582173,5,578158,0
apache-worker,681291,2,681323,1
apache2,846430,8,652970,-1
apachesolr,628586,3,627061,0
apartments,763449,0,763449,0
apatana,747248,1,747248,1
apc,815048,8,708669,0
apex,586104,2,586106,0
api,595893,16,688279,-4
api-design,948378,11,588075,0
apl,747706,5,843834,0
apm,736822,2,757695,0
apostrophe,719003,5,679237,0
app,858507,9,814832,-1
app-code,593638,3,575615,0
app-config,759020,3,738501,0
app-data,626544,0,626544,0
app-offlineûhtm,565810,1,565812,0
app-pool,761697,2,761703,0
app-startup,619334,1,619334,1
app-store,896425,17,837934,0
app-themes,670001,4,944038,1
app-verifier,920962,1,920962,1
app-web,639027,2,638955,0
appbar,896267,0,896267,0
appcmd,834193,1,834193,1
appcompat,898300,3,898254,-4
appdomain,776344,11,623561,-2
appearance,814058,0,814058,0
append,912294,19,571881,0
appending,960741,4,960805,1
appframework,651490,2,651499,1
appfuse,866189,1,866189,1
appkit,840728,9,847650,-1
apple,859106,11,830714,-1
apple-expose,820511,1,820511,1
applescript,937940,3,909232,-1
applet,581067,18,581514,-3
appliance,582999,5,583022,0
application,652831,24,791977,-2
application-architecture,574910,2,577770,0
application-blocks,910622,1,888043,0
application-client,862470,0,911193,-1
application-context,956849,2,956853,0
application-data,626841,5,626848,0
application-demo,680163,1,680117,0
application-design,893663,48,666008,0
application-development,900603,6,900605,-1
application-express,652630,2,652827,1
application-icon,861868,0,861868,0
application-name,956949,1,960755,0
application-pool,868380,6,565123,0
application-porting,830539,1,911387,0
application-roles,741882,1,741882,1
application-server,627515,8,612710,0
application-settings,621319,2,621295,0
application-shutdown,846582,13,846584,0
application-start,935979,4,765350,0
application-types,574468,1,574480,0
applicationcontext,600184,2,956853,0
applicationdidreceivemem,667064,2,668981,1
applicationdomain,675123,4,675132,0
applicationpool,590629,0,590629,0
applications,880940,13,740134,-2
applicationsettingsbase,868246,1,868246,1
apply,744472,11,745006,0
appraisal,901032,2,901037,1
apprenticeship,571102,1,571113,0
approach,692424,3,692427,0
approximation,600976,2,600983,0
apps,656410,4,656686,0
appscript,881328,1,881328,1
appsettings,674379,13,674405,0
appspot,931034,1,931034,1
appstore,610802,13,586420,-1
appworld,746087,3,768929,0
appûconfig,742911,5,603006,-1
appûxaml,589789,0,589789,0
apr,751082,2,741747,1
april-fools,704371,32,705675,-1
apt,634607,4,687847,0
apt-get,683677,8,683687,0
aptana,805497,7,638987,0
aptanaûstudio,926670,4,926727,1
aqtime,943673,0,943673,0
aqtime4,943673,0,943673,0
aquaemacs,875628,4,674126,0
aquamacs,665791,3,665726,2
ar-mailer,831152,1,861845,0
arabic,733003,4,741340,0
araxis,825564,0,825564,0
arb,910141,1,910141,1
arcgis,764170,2,624832,0
archetype,959867,0,959867,0
archetypes,944387,0,944387,0
architechture,805055,2,805055,2
architect,843623,11,688734,0
architectural-patterns,575147,4,575152,0
architecture,638652,41,889458,-4
architecture-astronaut,786541,9,703047,0
architecture-design-patt,825337,8,825319,0
architecture-patterns,621895,3,621887,1
architectures,784789,2,880638,0
archive,655060,6,940080,-1
archives,631519,3,631498,-1
archiving,695798,4,695806,0
archtecture,673748,1,673748,1
arcmap,893100,1,893100,1
arcobjects,893100,1,893100,1
arctan,583332,3,583345,0
arduino,781620,6,603738,0
area,622325,14,645185,0
args,718089,3,718069,0
argument,911393,6,911704,1
argument-passing,803858,23,637788,0
argument-validation,788220,3,788438,1
argumentative,575617,62,575929,-12
arguments,617695,20,927554,-3
argv,899314,10,899314,10
arithmetic,829562,16,697738,-1
arm,649216,6,801107,0
arp,666879,4,687290,0
array,755837,29,773075,-9
array-filter,799897,5,800659,2
array-initialization,737245,8,737264,2
array-initialize,683081,17,625735,0
array-of-arrays,597729,9,598620,1
array-sorting,597869,3,597869,3
array2,648238,4,648238,4
arraycollection,620702,1,900645,0
arraylist,725464,25,710689,-3
arrays,670359,29,773075,-9
arrow,943040,3,924103,0
arrow-keys,902958,3,893089,0
arsenal,657443,73,664790,-6
art,817635,4,666958,0
article,729252,2,742001,0
articles,605918,12,577340,0
artifactory,619026,2,577383,0
artifacts,903053,1,908332,-1
artificial-intelligence,755026,12,834364,-3
artificial-neural-network,687452,2,726570,1
as,887963,7,887961,0
as-keyword,569554,10,569538,1
as2,709178,3,593966,0
as3,843514,9,599357,-3
as400,628174,8,609136,0
asadmin,904859,1,904859,1
ascending,851224,7,852338,0
ascii,898047,16,657910,-2
ascii-art,885981,11,934136,0
ascx,675536,2,841227,-1
asdf,580220,3,684897,0
asdoc,699554,1,723027,0
asf,743575,2,670716,1
ashx,582758,2,582768,0
asian,645371,2,644936,0
asio,717251,5,754073,0
ask-a-lawyer,578718,58,688264,0
asking,758697,2,758675,-1
asm,885363,13,755464,-1
asmx,808219,4,580979,0
asnû1,595298,2,810090,0
asp,895603,15,916155,-2
asp-classic,590948,16,820159,-2
asp-image,655320,1,655320,1
asp-net,941481,1,941503,0
aspbutton,853278,2,853297,1
aspcontrols,844091,1,844091,1
aspect-oriented-programm,875521,2,875621,0
aspect-oriented-programmg,789642,6,789726,0
aspect-ratio,890289,0,890289,0
aspectj,871608,7,872988,0
aspects,959206,6,960077,-1
aspen,793512,0,793512,0
asplinkbutton,880115,4,880118,0
aspmenu,691191,1,809452,0
aspnet-compiler,718001,0,718001,0
aspnet-merge,838865,0,838865,0
aspnet-regiisûexe,786821,1,786821,1
aspnetdb,652281,0,652281,0
aspnetsqlmembershipprovi,831089,1,831089,1
asprepeater,737471,0,737471,0
aspx,681546,7,681531,-2
aspûlinqtoxml,927535,2,927535,2
aspûnet,714074,72,646129,-12
aspûnet-1û1,684717,2,566209,0
aspûnet-2û0,568122,6,648046,-2
aspûnet-3û5,737051,19,856172,-1
aspûnet-3û5-sp1,882481,0,882481,0
aspûnet-3û5sp1,752924,1,752924,1
aspûnet-ajax,603116,7,700931,-4
aspûnet-controls,604628,5,616737,1
aspûnet-customcontrol,591915,2,591902,1
aspûnet-development-serv,652784,2,652806,0
aspûnet-membership,653237,6,691521,-1
aspûnet-mvc,779961,32,731986,-4
aspûnet-mvc-ajax,796561,1,744340,0
aspûnet-mvc-futures,736935,3,736932,0
aspûnet-mvc-rc,591298,1,590355,0
aspûnet-mvc-routing,782370,7,664963,0
aspûnet-profiles,726452,3,838059,0
aspûnet-routing,671670,2,685254,-1
aspûnet-webcontrol,591915,2,591902,1
aspûnet-webservice,663437,1,712631,0
aspûnet2û0,800430,2,853033,0
aspûnet3û5,944976,2,945049,0
asscociative,874237,7,874210,0
assembler,577856,42,875811,-5
assemblies,771533,17,606666,-2
assembly,791673,33,856568,-2
assembly-comparison,590869,4,590866,0
assembly-information,807054,2,807054,2
assembly-language,790583,1,818846,0
assembly-redirection,605561,4,605569,0
assembly-reference-path,570692,1,570692,1
assembly-resolution,578169,3,578163,0
assembly-signing,839743,2,839745,1
assemblybinding,661597,1,659951,0
assemblyinfo,688062,4,688066,0
assemblyûreflectiononly,772657,3,570416,0
assert,933627,13,866870,-2
assertative-programming,822147,3,822133,0
assertion,866782,10,866870,-2
assertions,570170,5,569378,0
assessment,790953,0,790953,0
asset,691030,2,680033,-1
assignment,671936,17,744551,-4
assistance,720474,0,720474,0
association,833274,4,619689,0
associations,644745,12,728611,-1
associative,919342,5,919342,5
associative-array,620165,7,642835,-3
associativity,930498,4,930499,0
ast,769199,11,687636,0
asterisk,615714,7,615717,0
astoria,910722,2,700543,0
astronomy,704112,3,704109,0
asx,822552,2,864526,0
asymmetric,939713,4,939722,0
asymptotic-complexity,851957,8,902076,-3
async,617119,19,668486,0
async-api,564007,0,564007,0
async-workflow,719056,3,719275,0
asynccallback,735437,0,735437,0
asynchronous,563980,11,761671,-2
asynchronous-wcf-call,702406,0,702406,0
asyncsocket,800578,1,861690,0
asûnet,782048,1,782048,1
at,942808,3,942808,3
ataatapi,865766,3,865620,1
atexit,883500,1,883500,1
atl,626062,8,626066,-2
atmega,890528,2,890522,0
atmel,956926,2,956926,2
atom,852112,4,604163,0
atomic,583167,11,583144,0
atomic-values,692687,4,692787,0
atomicity,692561,4,692666,1
attach,926111,4,583512,0
attach-multiple-instances,914819,2,914779,0
attachedbehaviors,926490,2,925803,0
attachedproperties,737135,1,600535,0
attachment,911312,11,583512,0
attachment-fu,840379,2,798996,0
attachments,720497,3,576249,0
attack,933818,1,933779,0
attention,665838,7,665812,0
attention-management,626334,2,626334,2
attenuation,910141,1,910141,1
attitude,679632,27,900065,0
attribute,853826,4,662063,0
attribute-accessor,895752,4,896639,3
attributed-mappingmodel,751514,2,751452,1
attributeerror,792745,9,792734,-2
attributes,610893,23,928005,-1
attribution,873830,1,873830,1
auctex,575288,1,575288,1
auction,664408,1,664408,1
audiences,738669,2,732010,0
audio,789949,15,590783,-2
audio-cd,929582,2,929581,1
audio-recording,699136,3,652016,0
audio-streaming,693792,1,692335,0
audioplayer,908688,5,885301,0
audioscrobbler,717623,1,719945,0
audiostreaming,780757,2,649954,-1
audit,837547,4,617315,0
audit-tables,712376,2,712387,1
audit-trail,947603,2,820516,0
auditing,915218,3,590956,0
augmented-reality,902141,0,902141,0
augmentedreality,948081,0,948081,0
australia,633326,2,833408,0
auth,916176,1,916176,1
authentication,852966,15,694920,-3
authentication-json-apps,607361,1,607361,1
authentication-question,722230,1,722241,0
authenticator,600037,1,600037,1
authenticode,854174,1,849902,0
authkit,719344,1,719344,1
authlogic,896452,2,802355,0
author,864928,1,864928,1
authoring,872746,14,749588,0
authorization,592371,11,695869,-1
authorizationmanager,785916,0,785916,0
authorize,747208,3,924661,0
auto,913707,9,624393,0
auto-complete,706180,2,706067,0
auto-generate,579787,10,729351,-2
auto-generate-form,648091,1,648091,1
auto-implemented-propert,715912,6,715906,0
auto-increment,873474,6,592978,0
auto-indent,630492,2,630497,0
auto-populate,813828,1,815270,0
auto-properties,656597,10,656594,0
auto-ptr,627293,5,627508,0
auto-responder,731612,2,727255,1
auto-suggest,794894,4,701967,0
auto-update,586308,13,586651,0
auto-updater,856255,2,856255,2
auto-value,748655,1,748627,0
autobinder,874136,1,874136,1
autoboxing,766478,6,766481,0
autocad,779870,2,822298,0
autocalc,871011,2,871047,1
autocd,793733,2,793733,2
autocommit,758931,5,759590,0
autocomplete,893812,12,877503,-1
autocompleteextender,711488,1,728583,0
autocompleter,686056,1,686047,0
autoconf,600279,8,600360,0
autocorrect,583153,3,583247,-1
autodiscovery,672284,1,672301,0
autoeventwireup,680913,4,563650,0
autoexpect,612620,1,612620,1
autofac,626348,3,923146,0
autofield,778346,2,778346,2
autofill,682445,11,682470,0
autofilter,891220,1,891220,1
autoformatting,832555,3,832476,1
autogenerate,795185,2,713307,0
autogeneratecolumn,909125,0,909125,0
autohotkey,840716,3,755587,0
autoincrement,787774,5,959787,-1
autoit,618433,1,887118,0
autoload,666153,4,854885,-1
autologout,709658,2,709202,0
automake,769197,3,798524,0
automapper,955211,1,955211,1
automapping,664076,1,591599,0
automata,616450,8,616335,-2
automate,705321,5,593298,-1
automated,790217,8,755385,0
automated-build,642305,3,895604,0
automated-deploy,629090,2,588405,0
automated-refactoring,943682,4,704076,0
automated-testing,745900,1,726151,0
automated-tests,771025,27,574740,-2
automatic,915952,5,919840,-1
automatic-column-resizing,900916,1,900916,1
automatic-update,578639,3,578686,0
automation,719707,11,659200,-1
autonomous,775952,2,775946,1
autonumber,771496,3,768770,0
autopostback,730830,5,607986,0
autoproperties,946088,2,945761,0
autorelease,583292,5,613754,-1
autorepeat,877540,2,876914,0
autoresetevent,873453,1,873453,1
autorun,670977,4,593317,0
autosave,573513,2,585734,0
autosize,740945,1,733642,-1
autotest,798609,0,798609,0
autotools,719087,21,863415,-1
autoupdate,691665,6,819659,-2
autovivification,651879,13,652030,0
autowired,634754,7,938953,0
availability,644949,8,578599,0
avatar,930191,5,913859,0
avatars,726956,1,726956,1
avaudioplayer,948155,1,900536,0
avaya,840856,1,839865,0
avchd,588956,1,588956,1
average,655402,3,632995,-1
avfoundation,613797,1,614419,0
avg,809721,2,893846,-1
avgpower,666281,0,666281,0
avi,743575,2,606800,0
avl-tree,575859,4,679300,0
avr,781620,6,741166,0
avr-gcc,781620,6,949915,0
avrdude,727006,2,741166,0
awesome,721953,2,721353,1
awk,793830,14,793842,-2
awkward,725335,13,725323,2
aws,648284,2,579818,0
aws-s3,723540,1,723540,1
awstats,651570,3,656534,0
awt,672257,8,602715,-1
axapta,807020,1,580447,0
axhost,772315,0,772315,0
axis,826951,8,591584,0
axis2,950091,5,796415,-1
axshockwaveflash,742358,0,742358,0
axum,850933,4,850945,2
axwebbrowser,902515,0,902515,0
azimuth,780010,1,837844,0
azman,757616,5,785916,0
azure,753269,4,954976,-1
b-tree,766512,4,913657,0
baadal,687638,1,687638,1
baby-names,571161,6,571151,2
back,906705,5,813645,0
back-button,641016,6,651469,0
back-button-control,754280,3,754281,0
back-light,828570,1,828570,1
back-to-basics,790920,8,592848,0
back-trace,743718,2,743722,0
backbutton,829092,0,829092,0
backend,807616,4,807625,-1
background,851753,11,746156,-1
background-color,837074,6,734117,0
background-foreground,900468,2,904104,0
background-image,724182,3,617018,-1
background-position,594884,2,595338,0
background-process,769129,6,709627,-1
background-repeat,711707,2,711707,2
background-service,582422,1,582408,0
backgroundcolor,702541,2,702534,0
backgrounding,667006,5,810596,-1
backgroundrb,656577,10,668670,0
backgroundworker,588158,10,581759,0
backlight,868036,2,868036,2
backport,603860,6,859560,0
backpropagation,693351,2,693351,2
backreference,817117,2,817117,2
backslash,924427,1,895247,0
backslashes,573496,13,648235,0
backticks,758622,11,797182,0
backtrace,582833,4,850633,0
backup,753998,11,584453,-1
